Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,home_odds,draw_odds,away_odds,over25_odds,under25_odds
E0,11/08/2023,20:00,Burnley,Man City,0,3,A,0,2,A,C Pawson,8,5.5,1.33,1.67,2.2
E0,12/08/2023,12:30,Arsenal,Nott'm Forest,2,1,H,2,0,H,M Oliver,1.18,7,15,1.5,2.63
E0,12/08/2023,15:00,Bournemouth,West Ham,1,1,D,0,0,D,P Bankes,2.7,3.4,2.55,1.73,2.1
E0,12/08/2023,15:00,Brighton,Luton,4,1,H,1,0,H,D Coote,1.33,5.5,9,1.53,2.5
E0,12/08/2023,15:00,Everton,Fulham,0,1,A,0,0,D,S Attwell,2.2,3.4,3.3,2.1,1.73
E0,12/08/2023,15:00,Sheffield United,Crystal Palace,0,1,A,0,0,D,J Brooks,3,3.3,2.38,2.5,1.53
E0,12/08/2023,17:30,Newcastle,Aston Villa,5,1,H,2,1,H,A Madley,1.75,3.75,4.6,1.67,2.2
E0,13/08/2023,14:00,Brentford,Tottenham,2,2,D,2,2,D,R Jones,2.75,3.4,2.45,1.73,2.1
E0,13/08/2023,16:30,Chelsea,Liverpool,1,1,D,1,1,D,A Taylor,2.9,3.4,2.38,1.53,2.5
E0,14/08/2023,20:00,Man United,Wolves,1,0,H,0,0,D,S Hooper,1.33,5.5,9,1.62,2.3
E0,18/08/2023,19:45,Nott'm Forest,Sheffield United,2,1,H,1,0,H,P Bankes,1.95,3.4,4,2.2,1.67
E0,19/08/2023,15:00,Fulham,Brentford,0,3,A,0,1,A,D Bond,2.7,3.3,2.63,2.1,1.73
E0,19/08/2023,15:00,Liverpool,Bournemouth,3,1,H,2,1,H,T Bramall,1.2,7,13,1.25,4
E0,19/08/2023,15:00,Wolves,Brighton,1,4,A,0,1,A,A Madley,4,3.8,1.85,1.53,2.5
E0,19/08/2023,17:30,Tottenham,Man United,2,0,H,0,0,D,M Oliver,2.8,3.6,2.38,1.53,2.5
E0,19/08/2023,20:00,Man City,Newcastle,1,0,H,1,0,H,R Jones,1.67,4,5,1.85,2.05
E0,20/08/2023,14:00,Aston Villa,Everton,4,0,H,2,0,H,A Taylor,1.7,4,4.5,1.73,2.1
E0,20/08/2023,16:30,West Ham,Chelsea,3,1,H,1,1,D,J Brooks,3.75,3.5,2,1.73,2.1
E0,21/08/2023,20:00,Crystal Palace,Arsenal,0,1,A,0,0,D,D Coote,5.5,4,1.6,2,1.8
E0,25/08/2023,20:00,Chelsea,Luton,3,0,H,1,0,H,R Jones,1.29,5.5,11,1.62,2.3
E0,26/08/2023,12:30,Bournemouth,Tottenham,0,2,A,0,1,A,T Robinson,3.8,3.75,1.91,1.57,2.38
E0,26/08/2023,15:00,Arsenal,Fulham,2,2,D,0,1,A,P Tierney,1.2,7,13,1.5,2.63
E0,26/08/2023,15:00,Brentford,Crystal Palace,1,1,D,1,0,H,P Bankes,2.15,3.4,3.5,2.2,1.67
E0,26/08/2023,15:00,Everton,Wolves,0,1,A,0,0,D,C Pawson,2.3,3.3,3.2,1.99,1.91
E0,26/08/2023,15:00,Man United,Nott'm Forest,3,2,H,1,2,A,S Attwell,1.3,6,8,1.57,2.38
E0,26/08/2023,17:30,Brighton,West Ham,1,3,A,0,1,A,A Taylor,1.53,4.75,5.25,1.44,2.75
